,AQI
2022-12-31,198.9727
2023-01-01,154.12679
2023-01-02,124.31589
2023-01-03,109.26101
2023-01-04,105.608604
2023-01-05,108.022
2023-01-06,112.30382
2023-01-07,114.83433
2023-01-08,114.45527
2023-01-09,111.33387
2023-01-10,106.70185
2023-01-11,101.44476
2023-01-12,96.90349
2023-01-13,94.16995
2023-01-14,93.569466
2023-01-15,94.9207
2023-01-16,97.62929
2023-01-17,101.12602
2023-01-18,104.90627
2023-01-19,108.52559
2023-01-20,111.491806
2023-01-21,113.086716
2023-01-22,113.45584
2023-01-23,113.34193
2023-01-24,113.48998
2023-01-25,113.18693
2023-01-26,112.453674
2023-01-27,110.929985
2023-01-28,109.03496
2023-01-29,106.94448
2023-01-30,104.50093
2023-01-31,102.535126
2023-02-01,101.129974
2023-02-02,100.22745
2023-02-03,99.637596
2023-02-04,99.140434
2023-02-05,98.5733
2023-02-06,97.86789
2023-02-07,97.05424
2023-02-08,96.22464
2023-02-09,95.490616
2023-02-10,94.943535
2023-02-11,94.635506
2023-02-12,94.56972
2023-02-13,94.70551
2023-02-14,94.97517
2023-02-15,95.302734
2023-02-16,95.62124
2023-02-17,95.88217
2023-02-18,96.058716
2023-02-19,96.143906
2023-02-20,96.14694
2023-02-21,96.08976
2023-02-22,95.99637
2023-02-23,95.88286
2023-02-24,95.7534
2023-02-25,95.61095
2023-02-26,95.45677
2023-02-27,95.295494
2023-02-28,95.13112
2023-03-01,94.96754
2023-03-02,94.8106
2023-03-03,94.660805
2023-03-04,94.51638
2023-03-05,94.375244
2023-03-06,94.23691
2023-03-07,94.10359
2023-03-08,93.97998
2023-03-09,93.87184
2023-03-10,93.78422
2023-03-11,93.72012
2023-03-12,93.67945
2023-03-13,93.65925
2023-03-14,93.654396
2023-03-15,93.65887
2023-03-16,93.66689
2023-03-17,93.67391
2023-03-18,93.677086
2023-03-19,93.67529
2023-03-20,93.66878
2023-03-21,93.65861
2023-03-22,93.64607
2023-03-23,93.63231
2023-03-24,93.61792
2023-03-25,93.60302
2023-03-26,93.58729
2023-03-27,93.570305
2023-03-28,93.55177
2023-03-29,93.53162
2023-03-30,93.51004
